Año;Código;Universidad;Rama;Grado en;Centro;Nota general;Titulados;Mayor 25;Mayor 40;Mayor 45
2013 ;149003;ALMERÍA;SYJ;MARKETING E INVESTIGACIÓN DE MERCADOS ;FACULTAD CIENCIAS ECONÓMICAS Y EMPRESARIALES;6,640;6,390;7,584 -OPR AN;13,267;5,000
2013 ;139008;ALMERÍA;C;MATEMÁTICAS ;ESC. POLITÉCNICA SUPERIOR Y FAC. DE CIENCIAS EXPERIMENTALES;5,000;5,000;5,000 -ONP NA;5,000;5,000
2013 ;141500;ALMERÍA;SD;PSICOLOGÍA ;FACULTAD DE HUMANIDADES Y PSICOLOGÍA;6,265;7,460;6,248 -OPR AN;5,000;5,000
2013 ;142504;ALMERÍA;C;QUÍMICA ;ESC. POLITÉCNICA SUPERIOR Y FAC. DE CIENCIAS EXPERIMENTALES;5,000;5,000;5,000 -ONP NA;5,000;5,000
2013 ;108008;ALMERÍA;SYJ;RELACIONES LABORALES Y RECURSOS HUMANOS ;FACULTAD DE DERECHO;5,000;5,000;5,492 -OPR AN;21,263;6,400
2013 ;108504;ALMERÍA;SYJ;TRABAJO SOCIAL ;CENTRO RELACIONES LABORALES (ADSCRITO);5,000;5,000;5,000 -ONP NA;5,000;5,000
2013 ;108706;ALMERÍA;SYJ;TURISMO ;FACULTAD CIENCIAS ECONÓMICAS Y EMPRESARIALES;5,000;5,000;5,000 -ONP NA;5,000;5,000
2013 ;225521;CÁDIZ;SYJ;ADMINISTRACION Y DIRECCIÓN DE EMPRESAS ;FAC. CC. ECONÓMICAS Y EMPRESARIALES (SEDE ALGECIRAS);5,000;5,000;6,420 -ONP NA;5,000;5,000
2013 ;225517;CÁDIZ;SYJ;ADMINISTRACION Y DIRECCIÓN DE EMPRESAS ;FAC. CIENCIAS. ECON. Y EMP. (SEDE JEREZ);5,472;6,610;5,000 -ONP NA;5,000;5,000
2013 ;225502;CÁDIZ;SYJ;ADMINISTRACION Y DIRECCIÓN DE EMPRESAS ;FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRESARIALES;5,000;6,581;5,000 -ONP NA;5,000;5,000
2013 ;224207;CÁDIZ;IYA;ARQUITECTURA NAVAL E INGENIERÍA MARÍTIMA ESTRUCTURAS MARINASPROPULSION Y SERVICIOS DEL BUQUE;ESCUELA DE INGENIERÍA NAVAL Y OCEÁNICA;5,000;5,000;5,000 -ONP NA;5,000;5,000
2013 ;226700;CÁDIZ;C;BIOTECNOLOGÍA ;FACULTAD DE CIENCIAS;11,553;7,550;5,003 -ONP AN;5,000;5,000
2013 ;227100;CÁDIZ;C;CC AMBIENTALES + CC DEL MAR ;FACULTAD DE CIENCIAS DEL MAR Y AMBIENTALES;7,845;5,000;5,000 -ONP NA;5,000;5,000
2013 ;227208;CÁDIZ;C;CC AMBIENTALES + QUÍMICA ;FACULTAD DE CIENCIAS DEL MAR Y AMBIENTALES;5,940;5,000;5,000 -ONP NA;5,000;5,000
2013 ;228104;CÁDIZ;C;CC DEL MAR + CC AMBIENTALES ;FACULTAD DE CIENCIAS DEL MAR Y AMBIENTALES;9,843;5,000;5,000 -ONP NA;5,000;5,000
