GRADO,CENTRO,SOL. 1ª PREF.,SOL. 2ª PREF.,SOL. 3ª PREF. ,OFERTA,NOTA DE CORTE,DEMANDA SOBRE OFERTA (1ª PREF.)
CIENCIAS POLIT. Y DE LA ADMON. + DERECHO,F. DE CIENCIAS POLÍTICAS Y SOCIOLOGÍA,166,173,94,145,8.222,1.1
CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE + PRIMARIA,F. EDUCACIÓN Y HUMANIDADES (MELILLA),53,26,35,65,8.165,0.8
TURISMO,F. CIENCIAS ECONÓMICAS Y EMPRESARIALES,164,149,143,114,8.16,1.4
EDUCACIÓN INFANTIL,F. CIENCIAS DE LA EDUCACIÓN,495,484,333,330,8.134,1.5
LOGOPEDIA,F. PSICOLOGÍA,125,134,106,70,8.13,1.8
DERECHO,F. DERECHO,563,404,269,500,8.095,1.1
FINANZAS Y CONTABILIDAD,F. CIENCIAS ECONÓMICAS Y EMPRESARIALES,111,165,119,132,8.044,0.8
TRABAJO SOCIAL,F. TRABAJO SOCIAL,262,214,171,186,8,1.4
INGENIERÍA QUÍMICA,F. CIENCIAS,63,53,63,120,7.622,0.5
PEDAGOGÍA,F. CIENCIAS DE LA EDUCACIÓN,131,156,233,135,7.54,1
ARQUITECTURA,E.T.S. DE ARQUITECTURA,159,152,114,160,7.5,1
TRADUCCIÓN E INTERPRETACIÓN ÁRABE,F. TRADUCCIÓN E INTERPRETACIÓN,32,9,15,35,7.373,0.9
FILOSOFÍA,F. FILOSOFÍA Y LETRAS,85,53,50,80,7.177,1.1
ARQUEOLOGÍA,F. FILOSOFÍA Y LETRAS,77,62,47,65,7.14,1.2
ANTROPOLOGIA SOCIAL Y CULTURAL,F. FILOSOFÍA Y LETRAS,68,54,54,65,7.055,1
ESTUDIOS FRANCESES,F. FILOSOFÍA Y LETRAS,39,51,39,75,6.8,0.5
ESTADÍSTICA,F. CIENCIAS,32,31,25,60,6.8,0.5
CIENCIAS POLÍTICAS Y DE LA ADMINISTRACIÓN,F. DE CIENCIAS POLÍTICAS Y SOCIOLOGÍA,97,109,103,150,6.77,0.6
SOCIOLOGÍA,F. DE CIENCIAS POLÍTICAS Y SOCIOLOGÍA,63,59,72,160,6.508,0.4
HISTORIA,F. FILOSOFÍA Y LETRAS,124,106,83,150,6.426,0.8
CIENCIAS AMBIENTALES,F. CIENCIAS,49,68,47,150,6.13,0.3
GEOLOGÍA,F. CIENCIAS,36,17,17,75,5.655,0.5
EDIFICACIÓN + ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS,E.T.S. ING. EDIFICICACIÓN,5,8,18,15,5.465,0.3
EDUCACIÓN PRIMARIA,F. EDUCACIÓN Y HUMANIDADES (MELILLA),15,20,11,65,5.399,0.2
EDUCACIÓN PRIMARIA,C.P. INMACULADA CONCEPCIÓN (ADS),38,47,29,195,5.35,0.2
RELACIONES LABORALES Y RECURSOS HUMANOS,F. CIENCIAS SOCIALES Y JURÍDICAS (MELILLA),10,4,6,50,5.328,0.2
