Código,   Universidad,  Rama,  Grado en,  Centro,	Nota general,  Mayor
25,  Mayor 40, Mayor 45
231600,CÁDIZ,AYH,ESTUDIOS ÁRABES E ISLÁMICOS + ESTUDIOS INGLESES,F. FILOSOFÍA Y LETRAS,10.057,5.000,5.000 -ONP NA,5.000,5.000
233004,CÁDIZ,AYH,ESTUDIOS FRANCESES,F. FILOSOFÍA Y LETRAS,5.000,5.000,5.000 -ONP NA,5.000,5.000
233101,CÁDIZ,AYH,ESTUDIOS FRANCESES + ESTUDIOS INGLESES,F. FILOSOFÍA Y LETRAS,11.558,5.000,5.000 -ONP NA,5.000,5.000
234504,CÁDIZ,AYH,ESTUDIOS INGLESES,F. FILOSOFÍA Y LETRAS,7.597,5.000,5.000 -ONP NA,5.000,5.000
232000,CÁDIZ,AYH,FILOLOGÍA CLÁSICA,F. FILOSOFÍA Y LETRAS,5.000,5.000,5.000 -ONP NA,5.000,5.000
232108,CÁDIZ,AYH,FILOLOGÍA CLÁSICA + ESTUDIOS INGLESES,F. FILOSOFÍA Y LETRAS,8.057,5.000,5.000 -ONP NA,5.000,5.000
234008,CÁDIZ,AYH,FILOLOGÍA HISPÁNICA,F. FILOSOFÍA Y LETRAS,5.000,5.000,6.090 -OPR AN,5.000,5.000
234105,CÁDIZ,AYH,FILOLOGÍA HISPÁNICA + ESTUDIOS INGLESES,F. FILOSOFÍA Y LETRAS,12.611,5.000,5.000 -ONP NA,5.000,5.000
202004,CÁDIZ,SYJ,FINANZAS Y CONTABILIDAD,F. CIENC. ECON. Y EMPRES.,5.000,5.000,5.000 -ONP NA,5.000,5.000
202101,CÁDIZ,SYJ,FINANZAS Y CONTABILIDAD + REL. LABORALES Y REC. HUMANOS,F. CIENC. ECON. Y EMPRES.,5.897,5.000,5.000 -ONP NA,5.000,5.000
203504,CÁDIZ,SD,FISIOTERAPIA,F. ENFERMERÍA Y FISIOT.,11.809,5.000,7.017 -OPR AN,5.000,5.000
204016,CÁDIZ,SYJ,GESTIÓN Y ADMINISTRACIÓN PÚBLICA,F. CC. SOC. Y COMUN. (JE),5.000,5.000,5.280 -ONP AN,5.000,5.000
237505,CÁDIZ,AYH,HISTORIA,F. FILOSOFÍA Y LETRAS,6.317,5.000,7.310 -OPR AN,9.438,6.770
238509,CÁDIZ,AYH,HUMANIDADES,F. FILOSOFÍA Y LETRAS,5.000,5.000,5.000 -ONP NA,5.000,5.000
221702,CÁDIZ,IYA,INGENIERÍA AEROESPACIAL,E. SUPERIOR DE INGENIERÍA,11.898,5.000,5.000 -ONP NA,5.000,5.000
222501,CÁDIZ,IYA,INGENIERÍA CIVIL CONSTRUCCIONES CIVILES HIDROLOGIA TRANSPORTES Y SERVICIOS URBANOS,E. POLITÉC.SUPERIOR (ALG),5.000,5.000,5.000 -ONP NA,5.000,5.000
212506,CÁDIZ,IYA,INGENIERÍA ELÉCTRICA,E. SUPERIOR DE INGENIERÍA,6.030,5.000,5.000 -ONP NA,5.000,5.000
213003,CÁDIZ,IYA,INGENIERÍA ELECTRÓNICA INDUSTRIAL,E. SUPERIOR DE INGENIERÍA,5.546,5.000,5.000 -ONP NA,5.000,5.000
211200,CÁDIZ,IYA,INGENIERÍA EN DIS. INDUS. Y DESARROLLO DEL PRODUCTO,E. SUPERIOR DE INGENIERÍA,8.504,5.000,5.000 -ONP NA,5.000,5.000
223009,CÁDIZ,IYA,INGENIERÍA EN TECNOLOGÍAS INDUSTRIALES ELECTRICIDAD ELECTRONICA INDUSTRIAL MECANICA,E. SUPERIOR DE INGENIERÍA,9.218,5.000,5.000 -ONP NA,5.000,5.000
223013,CÁDIZ,IYA,INGENIERÍA EN TECNOLOGÍAS INDUSTRIALES ELECTRICIDAD ELECTRONICA INDUSTRIAL MECANICA QUIMICA INDUSTRIAL,E. POLITÉC.SUPERIOR (ALG),5.000,5.000,5.000 -ONP NA,5.000,5.000
223505,CÁDIZ,IYA,INGENIERÍA INFORMÁTICA COMPUTACION INGENIERIA DE COMPUTADORES INGENIERIA DEL SOFTWARE,E. SUPERIOR DE INGENIERÍA,7.059,5.000,5.000 -ONP NA,5.000,5.000
213501,CÁDIZ,IYA,INGENIERÍA MECÁNICA,E. SUPERIOR DE INGENIERÍA,8.698,5.000,5.000 -ONP NA,5.000,5.000
224509,CÁDIZ,IYA,INGENIERÍA QUÍMICA QUIMICA INDUSTRIAL,F. CIENCIAS,6.625,5.000,5.000 -ONP NA,5.000,5.000
294507,CÁDIZ,IYA,INGENIERÍA RADIOELECTRÓNICA,E. ING.MARINA - NAUT. Y RAD,5.000,5.000,5.000 -ONP NA,5.000,5.000
295104,CÁDIZ,AYH,LINGÜÍS. Y LENGUAS APLIC. + ESTUDIOS INGLESES,F. FILOSOFÍA Y LETRAS,10.780,5.000,5.000 -ONP NA,5.000,5.000
295004,CÁDIZ,AYH,LINGÜÍSTICA Y LENGUAS APLICADAS,F. FILOSOFÍA Y LETRAS,5.000,5.000,5.000 -ONP NA,5.000,5.000
293007,CÁDIZ,IYA,MARINA,E. ING.MARINA - NAUT. Y RAD,5.000,5.000,5.000 -ONP NA,5.000,5.000
249109,CÁDIZ,SYJ,MARKETING E INVESTIG. DE MERCADOS + TURISMO,F. CC. SOC. Y COMUN. (JE),9.296,5.000,5.000 -ONP NA,5.000,5.000
249001,CÁDIZ,SYJ,MARKETING E INVESTIGACIÓN DE MERCADOS,F. CC. SOC. Y COMUN. (JE),6.460,5.000,5.000 -ONP NA,5.000,5.000
239006,CÁDIZ,C,MATEMÁTICAS,F. CIENCIAS,7.311,5.000,5.617 -OPR NA,5.000,5.000
239502,CÁDIZ,SD,MEDICINA,F. MEDICINA,12.719,5.000,7.242 -OPR AN,5.000,5.000
293503,CÁDIZ,IYA,NÁUTICA Y TRANSPORTE MARÍTIMO,E. ING.MARINA - NAUT. Y RAD,6.238,5.000,5.000 -ONP NA,5.000,5.000
241509,CÁDIZ,SD,PSICOLOGÍA,F. CIENCIAS EDUCACIÓN,9.052,5.000,6.590 -OPR AN,26.083,7.000
242200,CÁDIZ,SYJ,PUBL. Y REL. PÚBLICAS + MARKETING E INV. MER,F. CC. SOC. Y COMUN. (JE),10.242,5.000,5.000 -ONP NA,5.000,5.000
242006,CÁDIZ,SYJ,PUBLICIDAD Y RELACIONES PÚBLICAS,F. CC. SOC. Y COMUN. (JE),8.063,5.000,6.525 -OPR AN,5.000,5.000
242103,CÁDIZ,SYJ,PUBLICIDAD Y RELACIONES PÚBLICAS + TURISMO,F. CC. SOC. Y COMUN. (JE),9.672,5.000,5.000 -ONP NA,5.000,5.000
242502,CÁDIZ,C,QUÍMICA,F. CIENCIAS,9.626,5.000,5.000 -ONP NA,5.000,5.000
242601,CÁDIZ,C,QUÍMICA + CC AMBIENTALES,F. CIENCIAS,8.835,5.000,5.000 -ONP NA,5.000,5.000
242804,CÁDIZ,C,QUÍMICA + ENOLOGÍA,F. CIENCIAS,9.585,5.000,5.000 -ONP NA,5.000,5.000
